is_active,status,room,cage_number,parent_cage,strain,dob,sex,num_of_mice_in_cage,introduced_date,dob_litter,litter_size,wean_date,weaned,num_of_litters,notes,expansion,injection_date,num_of_cells_per_mouse
n,breeder,A100,1000,,NSG-Hc1,,paired,2,2024-07-18,2024-08-09,9,2024-09-03,yes,,,,,
n,breeder,A100,1001,,NSG-Hc1,,paired,2,2024-07-18,2024-09-03,10,2024-09-30,yes,,10 females and 4 males,,,
n,breeder,A100,1002,,NSG-Hc1,,paired,2,2024-07-18,2024-08-12,7,2024-09-03,yes,,,,,
n,weanling,A200,1003,"1000, 1002",NSG-Hc1,2024-08-09,female,4,,,,,,,1 female moved to 1001 to become new breeder. Transferred for study on 2024-10-03,,,
n,weanling,A200,1004,"1000, 1002",NSG-Hc1,2024-08-09,female,5,,,,,,,Transferred for study on 2024-10-03,,,
n,expansion,A100,1005,,NSG,2024-08-13,female,5,,,,,,,,Sample A,2024-10-23,1.00E+06
n,expansion,A100,1006,,NSG,2024-08-13,female,5,,,,,,,,Sample B,2024-10-23,1.00E+06
n,weanling,A100,1007,,NSG,2024-09-20,female,4,,,,,,,,,,
n,weanling,A100,1008,,NSG,2024-09-27,female,5,,,,,,,,,,
n,weanling,A100,1009,,NSG,2024-09-27,female,4,,,,,,,,,,
,breeder,A100,1002,,NSG-Hc1,,paired,2,2024-07-18,2025-03-28,5,2025-04-22,,,,,,
,expansion,A100,1010,,NSG,2024-12-24,female,3,,,,,,,,Sample A,2025-02-27,1.00E+06
,expansion,A100,1011,,NSG,2024-11-05,male,4,,,,,,,,Sample B,2025-02-27,1.00E+06
,expansion,A100,1012,,NSG,2024-11-20,male,4,,,,,,,,Sample C,2025-02-27,1.00E+06
,weanling,A100,1013,"1000, 1002",NSG-Hc1,2024-08-09,male,5,,,,,,,,,,
,weanling,A100,1014,1001,NSG-Hc1,2024-08-22,male,5,,,,,,,,,,
,weanling,A100,1015,1000,NSG-Hc1,2024-09-03,male,4,,,,,,,,,,
,weanling,A100,1016,1000,NSG-Hc1,2024-09-03,female,5,,,,,,,,,,
,weanling,A100,1017,1001,NSG-Hc1,2024-10-16,male,3,,,,,,,,,,
,weanling,A100,1018,1000,NSG-Hc1,2024-10-18,female,4,,,,,,,,,,
,weanling,A100,1019,1000,NSG-Hc1,2024-10-18,male,2,,,,,,,,,,
,weanling,A100,1020,,NSG,2025-02-03,male,5,,,,,,,,,,
,weanling,A100,1021,,NSG,2025-02-03,male,3,,,,,,,,,,
,weanling,A100,1022,,NSG,2025-02-03,female,4,,,,,,,,,,
,weanling,A100,1023,,NSG,2025-02-03,female,5,,,,,,,,,,
,weanling,A100,1024,,NSG,2025-02-03,female,5,,,,,,,,,,
,weanling,A100,1025,,NSG,2025-02-09,female,4,,,,,,,,,,
,weanling,A100,1026,,NSG,2025-02-10,female,5,,,,,,,,,,
,weanling,A100,1027,,NSG,2025-02-10,male,3,,,,,,,,,,
,weanling,A100,1028,,NSG,2025-02-10,male,5,,,,,,,,,,
,weanling,A100,1029,,NSG,2025-02-10,male,5,,,,,,,,,,
,weanling,A100,1030,,NSG,2025-02-10,male,5,,,,,,,,,,
,weanling,A100,1031,,NSG,2025-02-13,male,5,,,,,,,,,,
